=== 内存监控开始 === 1755157778
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755157779,489,15417,915,10,3149,12288,0.00,10.01
1755157780,866,19814,1293,10,3149,12288,1.18,10.63
1755157781,958,20032,1385,10,3153,12288,1.91,10.76
1755157782,1794,21841,2331,10,3431,12288,2.27,12.06
1755157783,2602,28262,3228,12,3755,12288,4.65,13.33
1755157784,2742,29192,3433,67,3945,12288,2.50,13.64
1755157785,2827,29320,3518,67,3945,12288,4.09,13.79
1755157786,2766,29362,3471,82,4013,12288,6.15,13.74
1755157787,2836,29490,3541,82,4099,12288,17.51,13.84
1755157788,2834,29426,3539,82,4013,12288,1.02,13.84
=== 内存监控开始 === 1755157835
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755157836,488,15417,917,10,3149,12288,0.00,10.00
1755157837,860,19813,1291,10,3149,12288,0.63,10.59
1755157838,945,20031,1377,10,3153,12288,2.46,10.73
1755157839,1773,21770,2307,10,3415,12288,2.78,12.04
1755157840,2578,28287,3206,10,3741,12288,21.23,13.29
1755157841,2745,29165,3439,65,3933,12288,3.06,13.66
1755157842,2828,29293,3522,65,3933,12288,2.70,13.78
1755157843,2758,29388,3468,82,4013,12288,1.40,13.72
1755157844,2830,29452,3540,82,4045,12288,4.88,13.81
1755157845,2790,29455,3501,82,4013,12288,2.08,13.76
1755157846,2820,29647,3530,82,4123,12288,36.84,13.81
1755157848,2750,29531,3464,84,4023,12288,1.85,13.72
1755157849,2835,29723,3549,84,4139,12288,26.74,13.84
1755157850,2806,29595,3520,84,4023,12288,3.70,13.78
1755157851,2776,29787,3489,84,4023,12288,52.29,13.75
1755157852,2752,29659,3466,84,4023,12288,2.46,13.72
1755157853,2786,29883,3502,87,4035,12288,51.96,13.76
